NoUrut,IdData,Data,Data Inggris,Label,HasilSegmen,DataAsliOptimal,DataAsliGreedy,DataEditOptimal,DataEditGreedy
353,24,Stres,Stress,F3,4,14,14,4,4
354,24,Kelelahan,Fatigue,F3,4,14,14,4,4
355,24,radang panggul,pelvic inflammation,F3,4,14,14,4,4
356,24,kista ovarium,ovarian cyst,F3,4,14,14,4,4
357,24,erosi vagina,vaginal erosion,F3,4,14,14,4,4
358,24,polip serviks,cervical polyps,F3,4,14,14,4,4
359,24,polip rahim,uterine polyps,F3,4,14,14,4,4
360,24,Endometriosis,Endometriosis,F3,4,14,14,4,4
361,24,infeksi saluran telur,fallopian tube infection,F3,4,14,14,4,4
362,24,kelainan pembekuan darah,blood clotting disorders,F3,4,14,14,4,4
363,24,kanker serviks,cervical cancer,F3,4,14,14,4,4
364,24,dan lain sebagainya,and so forth,F3,4,14,14,4,4
365,24,Sebaiknya Anda berkonsultasi dengan dokter kandungan di mana dokter akan menganalisis gejala yang Anda alami dan melakukan pemeriksaan fisik yang diperlukan,You should consult a gynecologist where the doctor will analyze the symptoms you are experiencing and perform the necessary physical examination,F5,4,14,14,4,4
366,24,Pemeriksaan penunjang seperti tes darah dan USG dapat dokter anjurkan,Supportive examinations such as blood tests and ultrasound can be recommended by the doctor,F5,4,14,14,4,4
367,24,Terapi yang sesuai akan dokter berikan,The appropriate therapy will be given by the doctor,F5,5,3,3,5,5
368,24,"Anjuran yang dapat Anda lakukan: hindari aktivitas fisik yang amat melelahkan minimalisir stres dengan bijak, konsumsi makanan bergizi seimbang secara teratur, miliki waktu yang cukup untuk beristirahat dan tidur, minum air putih dalam jumlah cukup minimal 2 liter per hari","Suggestions that you can do: avoid strenuous physical activity, minimize stress wisely, consume balanced nutritious foods on a regular basis, have enough time to rest and sleep, drink enough water at least 2 liters per day",F5,5,3,3,5,5
369,24,"Artikel yang dapat Anda baca: Mewaspadai menstruasi yang tidak normal, mengapa ada flek cokelat sebelum haid","Articles you can read: Beware of abnormal menstruation, why there are brown spots before menstruation",F5,5,3,3,5,5
370,24,"Semoga bermanfaat dan salam, dr Rony Wijaya","Hopefully useful and greetings, Dr Rony Wijaya",F1,6,1,1,6,6
371,25,"Halo, terima kasih sudah bertanya di alodokter com","Hello, thank you for asking on alodokter com",F1,0,1,1,0,0
372,25,Ruam yang muncul pada bayi merupakan hal yang cukup sering terjadi dikarenakan kulit bayi yang masih sensitif,Rashes that appear in babies are quite common because the baby's skin is still sensitive,F3,1,2,2,1,1
373,25,"Beberapa penyebab yang mungkin mengakibatkan ruam pada bayi diantaranya: â€¢ Alergi, pada beberapa kasus anak dapat mewarisi alergi dari orang tua dan akibat konsumsi makanan tertentu kemudian memberikan ASI juga dapat mempengaruhi alergi pada anak","Some of the causes that may cause rashes in babies include: • Allergies, in some cases children can inherit allergies from parents and due to consumption of certain foods then breastfeeding can also affect allergies in children",F3,1,2,2,1,1
374,25,"â€¢ Infeksi kulit akibat bakteri Infeksi virus, seperti HFMD (hand food and mouth disease)","â€¢ Bacterial skin infections Viral infections, such as HFMD (hand food and mouth disease)",F3,2,1,1,2,2
375,25,"Beberapa saran yang dapat Anda lakukan diantaranya : â€¢ Menjaga kebersihan kulit bayi dengan segera lap / bersihkan kulit bayi apabila terkena asi, dapat menggunakan handuk yang telah dibasahi air minum, seka pelan pada kulit bayi setiap selesai menyusu","Some suggestions that you can do include: â€¢ Keeping the baby's skin clean by immediately wiping / cleaning the baby's skin if exposed to breast milk, can use a towel that has been moistened with drinking water, gently wipe the baby's skin after each feeding",F3,3,1,1,3,3
376,25,â€¢ Jaga kebersihan kulit bayi dengan memandikannya 2 x sehari menggunakan sabun berbahan dasar ringan khusus bayi,â€¢ Keep the baby's skin clean by bathing him 2 times a day using a mild baby - based soap,F3,4,2,2,4,4
377,25,"â€¢ Apabila bayi mengonsumsi susu formula, pertimbangkan kemungkinan alergi terhadap susu formula tersebut","â€¢ If your baby is using formula, consider the possibility of an allergy to that formula",F3,4,2,2,4,4
378,25,"â€¢ Telusuri faktor pencetus alergi pada bayi melalui makanan yang ibu konsumsi jika bayi minum ASI, apabila mengalami kesulitan dalam menelusurinya, sebaiknya konsultasi langsung dengan dokter","â€¢ Trace factors that trigger allergies in babies through the food that the mother consumes if the baby is drinking breast milk, if you have difficulty in tracing it, you should consult a doctor",F3,5,3,3,5,5
379,25,Saya sarankan untuk melakukan pemeriksaan ke dokter spesialis anak untuk memastikan penyebab keluhan yang di alami anak Anda,I suggest checking with a pediatrician to determine the cause of your child's complaints,F5,5,3,3,5,5
380,25,Dokter akan melakukan pemeriksaan lanjutan sehingga pengobatan yang tepat dapat diberikan,The doctor will carry out a follow - up examination so that the right treatment can be given,F5,5,3,3,5,5
381,25,Hindari penggunaan obat apapun tanpa pengawasan dokter,Avoid using any medication without a doctor's supervision,F5,6,3,3,6,6
382,25,"Demikian jawaban dari saya, semoga membantu","That's my answer, hope it helps",F1,6,3,3,6,6
383,25,"Salam, dr Sylvia","Regards, Dr Sylvia",F1,6,3,3,6,6
384,26,Waalaikum salam Nameil,Waalaikum salam Nameil,F1,0,11,11,0,0
385,26,Phenytoin adalah obat antiepilepsi yang digunakan untuk mengontrol kejang,Phenytoin is an antiepileptic drug used to control seizures,F3,0,11,11,0,0
386,26,"Pemilihan obat phenytoin berdasarkan berbagai pertimbangan, tentunya dokter adik Anda sudah mempertimbangkan berbagai hal, termasuk jenis kejang yang dialami sehingga memilih obat ini","The choice of phenytoin drug is based on various considerations, of course, your sister's doctor has considered various things, including the type of seizure you are experiencing, so you choose this drug",F3,0,11,11,0,0
387,26,"Phenytoin memiliki efek samping yang umum, diantaranya adalah: Pusing, mengantuk, kebingungan, gugup","Phenytoin has common side effects, including: Dizziness, drowsiness, confusion, nervousness",F3,0,11,11,0,0
388,26,"Mual, muntah, konstipasi","Nausea, vomiting, constipation",F3,0,11,11,0,0
389,26,"Tremor, bicara yang kurang jelas, gangguan koordinasi dan keseimbangan","Tremors, slurred speech, impaired coordination and balance",F3,0,11,11,0,0
390,26,Bercak / ruam pada kulit Sakit kepala,Spots / rash on the skin Headache,F3,0,11,11,0,0
391,26,Gangguan tidur,Sleep disturbance,F3,0,11,11,0,0
392,26,"Melihat efek samping yang tertulis di atas, bisa saja keluhan yang adik Anda rasakan saat ini adalah akibat dari obat phenytoin, tetapi bisa juga karena masalah lainnya, misalnya defisit akibat epilepsi, gangguan pada otot, dan lain sebagainya","Seeing the side effects listed above, it could be that the complaints that your sister is currently experiencing are the result of the phenytoin drug, but it could also be due to other problems, such as deficits due to epilepsy, muscle disorders, and so on",F3,0,11,11,0,0
393,26,"Jika keluhan ini sangat mengganggu adik Anda, sebaiknya Anda atau orang tua Anda segera membawa adik Anda ke dokter yang menanganinya","If this complaint really bothers your sister, you or your parents should immediately take your sister to the doctor who treats her",F3,0,11,11,0,0
394,26,Dokter bisa menentukan penanganan yang sesuai keadaan adik Anda,The doctor can determine the appropriate treatment for your sister's condition,F3,0,11,11,0,0
395,26,"Jika memang perlu, dokter bisa menyesuaikan dosis, mengganti atau menambah obat untuk adik Anda","If necessary, the doctor can adjust the dose, change or add medication for your sister",F3,1,3,2,1,1
396,26,Obat antiepilepsi diminum setiap hari hingga dua tahun bebas kejang,Antiepileptic drugs are taken daily for up to two seizure - free years,F3,1,3,2,1,1
397,26,"Jika kejang terjadi dalam masa pengobatan, maka pengobatan perlu dievaluasi ulang, apakah dosisnya ditambah, obatnya ditambah atau keputusan lainnya","If seizures occur during the treatment period, then the treatment needs to be re - evaluated, whether the dose is increased, the drug is increased or other decisions are made",F3,1,3,3,1,1
398,26,Penting untuk mengonsumsi obat dan kontrol secara rutin,It is important to take medication and control regularly,F3,2,2,3,2,2
399,26,Jangan menghentikan atau mengganti obat secara tiba - tiba tanpa instruksi dokter karena akibatnya dapat fatal,Do not stop or change drugs suddenly without a doctor's instructions because the consequences can be fatal,F5,2,2,3,2,2
400,26,Baca artikel di bawah ini: Phenytoin Epilepsi,Read the article below: Phenytoin Epilepsy,F5,3,1,1,3,3
401,26,"Semoga membantu ya, dr Mega","Hope it helps, Dr Mega",F1,4,1,1,4,4
402,27,Halo Naya,Hello Naya,F1,0,1,1,0,0
403,27,Pembuahan adalah proses awal yang mengawali terjadinya kehamilan,Conception is the initial process that initiates pregnancy,F3,1,2,3,1,1
404,27,Pembuahan didefinisikan sebagai bertemunya sel sperma yang dikeluarkan pria saat ejakulasi dengan sel telur yang dihasilkan wanita pada masa subur,Fertilization is defined as the meeting of the sperm cells released by the male during ejaculation with the egg cells produced by the female during the fertile period,F3,1,2,3,1,1
405,27,"Tanpa berlangsungnya proses ini, maka tidak akan terjadi kehamilan","Without this process, there will be no pregnancy",F3,2,2,3,2,2
406,27,Lama hidup sperma tergantung dari di mana sperma tersebut berada,The longevity of the sperm depends on where the sperm is,F3,2,2,1,2,2
407,27,Sperma yang berada di luar tubuh hanya mampu bertahan hidup beberapa menit saja,Sperm that are outside the body can only survive a few minutes,F3,3,3,3,3,3
408,27,"Sperma yang berada di pakaian, seprei, atau handuk, hanya mampu bertahan hidup hingga air mani kering","Sperm that are on clothes, sheets, or towels, can only survive until the semen dries",F3,3,3,3,3,3
409,27,"Sehingga sangat kecil kemungkinan (bahkan tidak mungkin) terjadi pembuahan pada wanita yang menggunakan handuk bergantian dengan pria, sekalipun wanita sedang berada pada masa subur","So it is very unlikely (even impossible) to occur in women who use towels alternately with men, even though women are in their fertile period",F3,3,3,3,3,3
410,27,"Akan tetapi, menggunakan handuk secara bergantian dapat menyebabkan penularan penyakit, terutama penyakit kulit, seperti infeksi jamur, infestasi parasit (skabies), dan sebagainya","However, sharing towels can cause disease transmission, especially skin diseases, such as fungal infections, parasitic infestations (scabies), and so on",F3,4,1,1,4,4
411,27,"Oleh karena itu, sebaiknya masing - masing individu memiliki handuknya masing - masing","Therefore, each individual should have their own towel",F5,5,1,1,5,5
412,27,Silahkan baca tentang proses pembuahan,Please read about the fertilization process,F5,6,2,2,6,6
413,27,Semoga membantu dr Lili,Hope it helps dr Lili,F1,6,2,2,6,6
414,28,"Halo Hardyno, terima kasih sudah bertanya di Alodokter com","Hello Hardyno, thank you for asking on Alodokter com",F1,0,1,1,0,0
415,28,Darah yang keluar saat batuk umumnya bercampur dengan dahak,Blood that comes out when coughing is generally mixed with phlegm,F3,1,1,1,1,1
416,28,"Batuk berdarah dapat disebabkan oleh banyak hal, dibagi berdasarkan lokasi sumber perdarahan : Saluran nafas bagian bawah : bronchitis akut / kronis, bronkiektasis, trauma, atau keganasan, dan masih banyak lagi","Coughing up blood can be caused by many things, divided by the location of the source of bleeding: Lower respiratory tract: acute / chronic bronchitis, bronchiectasis, trauma, or malignancy, and many more",F3,2,3,7,2,2
417,28,"Parenkim paru : abses paru (penumpukan nanah di paru), pneumonia, TBC, Mycetoma, dan masih banyak lagi","Lung parenchyma: lung abscess (accumulation of pus in the lungs), pneumonia, tuberculosis, mycetoma, and many more",F3,2,3,7,2,2
418,28,"Pembuluh darah : malformasi arterivena, emboli paru, ruptut arteri pulmonary, dan sebagainya","Blood vessels: arteriovenous malformations, pulmonary embolism, pulmonary artery rupture, and so on",F3,2,3,7,2,2
419,28,"Bukan dari saluran nafas bagian bawah : perdarahan sekitar, hidung dan tenggorokan, serta perdarahan saluran cerna yang menyerupai batuk berdarah","Not from the lower respiratory tract: bleeding around the nose and throat, as well as gastrointestinal bleeding that resembles coughing up blood",F3,3,10,7,3,2
420,28,"Bila melihat dari keterangan Anda, dimana batuk berlangsung satu bulan, disertai batuk darah, demam dan berkeringat malam hal ini mengarah pada TB paru , namun perlu pemeriksaan lebih lanjut untuk memastikannya seperti pemeriksaan rontgen dada, pemeriksaan dahak, pemeriksaan darah","If you see from your description, where the cough lasts for one month, accompanied by coughing up blood, fever and night sweats this points to pulmonary TB, but further examination is needed to confirm it, such as chest X - ray examination, sputum examination, blood examination",F4,3,10,7,3,2
421,28,"Mengingat banyaknya kondisi lain yang dapat menimbulkan keluhan serupa, kami sarankan Anda untuk menemui dokter untuk dilakukan pemeriksaan dan penanganan lebih lanjut","Given the many other conditions that can cause similar complaints, we recommend that you see a doctor for further examination and treatment",F5,3,10,7,3,2
422,28,"Semakin cepat diketahui penyebabnya, dan diterapi sedini mungkin maka kemungkinan kesembuhan semakin besar","The sooner the cause is known, and treated as early as possible, the greater the chance of recovery",F5,3,10,7,3,2
423,28,"Untuk sementara yang dapat Anda lakukan sebagai penanganan awal, diantaranya : Hindari merokok","For the time being, what you can do as an initial treatment, include: Avoid smoking",F5,3,10,6,3,3
424,28,Juga hindari lingkungan penuh asap,Also avoid smoky environments,F5,3,10,6,3,3
425,28,Remaja dan orang dewasa dapat mengisap permen pereda tenggorokan,Teens and adults can suck on throat lozenges,F5,3,10,6,3,3
426,28,"Hindari iritasi tenggorokan dengan tidak mengonsumsi minuman atau makanan yang terlalu panas, dan makanan berasa pedas, asam, berminyak","Avoid throat irritation by not consuming drinks or foods that are too hot, and foods that taste spicy, sour, oily",F5,3,10,6,3,3
427,28,"Minum cukup air, terutama jika Anda sedang demam","Drink enough water, especially if you have a fever",F5,3,10,6,3,3
428,28,"Sekian informasi yang dapat kami sampaikan, semoga bermanfaat","That's all the information we can convey, hopefully it's useful",F1,3,10,6,3,3
429,28,"Salam, dr Prasetyo","Regards, dr Prasetyo",F1,4,1,1,4,4
430,29,Alo Dede Jaenudin,Hello Dede Jaenudin,F1,0,5,5,0,0
431,29,Hemoroidectomy adalah operasi memotong dan membuang wasir,Hemorrhoidectomy is surgery to cut and remove hemorrhoids,F3,0,5,5,0,0
432,29,"Layaknya setiap operasi, hemoroidectomy juga berpotensi menimbulkan komplikasi","Like every surgery, hemorrhoidectomy also has the potential to cause complications",F3,0,5,5,0,0
433,29,"Komplikasi hemoroidectomy dapat dibedakan menjadi komplikasi akut yang muncul tidak lama setelah operasi dan sembuh tidak lama kemudian, serta komplikasi jangka panjang yang muncul setelah beberapa bulan / tahun pasca operasi","Complications of hemorrhoidectomy can be divided into acute complications that appear shortly after surgery and resolve shortly thereafter, as well as long - term complications that arise after several months / years postoperatively",F3,0,5,5,0,0
434,29,Komplikasi akut hemoroidectomy antara lain: Perdarahan pasca operasi Infeksi Retensi urin / tidak bisa BAK umumnya terjadi karena rasa nyeri yang dirasakan pasien saat mengedan sehingga pasien cenderung menahan - nahan kencing,Acute complications of hemorrhoidectomy include: Postoperative bleeding Infection Urinary retention / inability to urinate generally occurs due to the pain felt by the patient when straining so that the patient tends to hold urine,F3,0,5,5,0,0
435,29,Akibatnya risiko infeksi saluran kemih meningkat,"As a result, the risk of urinary tract infection increases",F3,1,2,2,1,1
436,29,"Trauma jaringan sekitar anus Konstipasi Anal fistula - terbentuk saluran tidak normal yang menghubungkan bagian anus dengan dunia luar Sedangkan komplikasi jangka panjang yang dapat timbul setelah hemoroidectomy adalah: Striktur anus - pembentukan jaringan parut yang tidak normal, sehingga lubang anus menjadi sempit dan pasien kesulitan BAB Inkontinensia BAB - karena cedera pada otot sphincter anus, sehingga pasien tidak bisa menahan BAB / tinja keluar dengan sendirinya Nyeri anus kronis Infeksi saluran kemih dapat terjadi karena higienitas di daerah kemaluan yang kurang","Trauma to the tissue around the anus Constipation Anal fistula - an abnormal channel formed that connects the anus to the outside While long - term complications that can arise after hemorrhoidectomy are: Anal stricture - abnormal scar tissue formation, so that the anal canal becomes narrow and the patient has difficulty defecating incontinence CHAPTER - due to injury to the anal sphincter muscle, so the patient can't hold bowel movements / stool out by itself Chronic anal pain Urinary tract infections can occur due to poor hygiene in the pubic area",F3,1,2,2,1,1
437,29,Kuman penyebab infeksi saluran kemih tersering adalah E coli yang berasal dari saluran pencernaan,"The most common cause of urinary tract infections is E coli, which originates from the digestive tract",F3,2,2,2,2,2
438,29,Cara cebok yang tidak baik atau tangan yang bekas terkena tinja kemudian memegang saluran kemih dapat meningkatkan risiko terjadinya infeksi pada saluran kemih,Improper washing methods or hands that have been exposed to feces and then holding the urinary tract can increase the risk of urinary tract infections,F3,2,2,2,2,2
439,29,"Gejala infeksi saluran kemih adalah nyeri saat BAK, BAK sedikit - sedikit, rasa tidak tuntas saat selesai BAK, nyeri di perut bagian bawah, dan ada darah pada urin","Symptoms of urinary tract infection are pain when urinating, urinating a little bit, feeling incomplete when urinating, pain in the lower abdomen, and blood in the urine",F3,3,2,2,3,3
440,29,Diagnosis infeksi saluran kemih adalah berdasarkan gejala klinis dan pemeriksaan penunjang berupa analisis urin,The diagnosis of urinary tract infection is based on clinical symptoms and investigations in the form of urine analysis,F3,3,2,2,3,3
441,29,Pengobatan ISK sebaiknya dilakukan apabila sudah memeriksakan diri ke dokter,UTI treatment should be done if you have consulted a doctor,F3,4,5,5,4,4
442,29,Antibiotik bukanlah obat yang seharusnya bisa dibeli bebas oleh pasien tanpa resep dokter,Antibiotics are not drugs that patients should be able to buy over the counter without a doctor's prescription,F3,4,5,5,4,4
443,29,Penggunaan antibiotik yang sembarangan dapat menyebabkan resistensi terhadap antibiotik tersebut di kemudian hari,Indiscriminate use of antibiotics can lead to resistance to these antibiotics in the future,F3,4,5,5,4,4
444,29,"Bila mengalami keluhan pada luka pasca operasi dan ada keluhan baru yang timbul misalnya seperti infeksi saluran kemih, Anda bisa melakukan pemeriksaan terlebih dahulu dengan dokter","If you experience postoperative wound complaints and there are new complaints, such as a urinary tract infection, you can first check with your doctor",F5,4,5,5,4,4
445,29,"Demikian penjelasan dari saya, semoga bermanfaat","That's my explanation, I hope it's useful",F1,4,5,5,4,4
446,30,Hai Lisa Caiank Akmal,Hi Lisa Caiank Akmal,F1,0,2,2,0,0
447,30,Menstruasi adalah hal yang normal terjadi pada wanita,Menstruation is a normal thing for women,F3,0,2,2,0,0
448,30,Umumnya menstruasi terjadi selama 2 - 7 hari dengan jarak setiap 21 - 35 hari sekali,Menstruation generally occurs for 2 - 7 days with an interval of every 21 - 35 days,F3,1,7,7,1,1
449,30,Akan tetapi setiap wanita dapat memiliki kemungkinan untuk mengalami gejala menstruasi seperti: Lemas dan lelah,"However, every woman can have the possibility to experience menstrual symptoms such as: Weak and tired",F3,1,7,7,1,1
450,30,Sakit kepala,Headache,F3,1,7,7,1,1
451,30,Perut kembung dan mual,Stomach bloating and nausea,F3,1,7,7,1,1
452,30,Payudara yang membesar dan nyeri,Enlarged and painful breasts,F3,1,7,7,1,1
453,30,Kenaikan berat badan,Weight gain,F3,1,7,7,1,1
454,30,Perubahan nafsu makan dan lain sebagainya,Changes in appetite and so on,F3,1,7,7,1,1
455,30,Banyak mitos yang terdapat di masyarakat Indonesia seputar menstruasi,There are many myths that exist in Indonesian society about menstruation,F3,2,3,3,2,2
456,30,Akan tetapi tidak semuanya benar,But not everything is true,F3,2,3,3,2,2
457,30,Anda harus dapat memilah mana yang benar atau tidak,You have to be able to sort out what's right or not,F3,2,3,3,2,2
458,30,"Konsultasikan secara langsung dengan dokter spesialis kandungan jika memang perlu, agar dapat mengetahui informasi seputar menstruasi","Consult directly with an obstetrician if necessary, so that you can find out information about menstruation",F5,3,4,4,3,3
459,30,"Untuk keramas saat menstruasi tentu diperbolehkan, tidak ada efek sampingnya","Of course, it is permissible to wash your hair during menstruation, there are no side effects",F5,3,4,4,3,3
460,30,Simak juga artikel berikut ini,Also check out the following article,F5,3,4,4,3,3
461,30,"Semoga membantu, dr Yosephine","Hope it helps, dr Yosephine",F1,3,4,4,3,3
462,31,Hai,Hi,F1,0,5,3,0,0
463,31,Antibiotik merupakan suatu obat yang diresepkan oleh dokter dan penggunaannya sebaiknya tidak dilakukan sembarangan,Antibiotics are drugs that are prescribed by a doctor and their use should not be done carelessly,F3,0,5,3,0,0
464,31,"Penggunaan antibiotik dapat bervariasi, tergantung dari penyakit dan keadaan anda","The use of antibiotics may vary, depending on your disease and condition",F3,0,5,3,0,0
465,31,"Jika anda mengalami gangguan infeksi saluran kemih, maka salah satu pengobatan yang dapat digunakan adalah penggunaan obat obat antibiotik tertentu","If you have a urinary tract infection, then one of the treatments that can be used is the use of certain antibiotics",F3,0,5,2,0,1
466,31,Novaflox merupakan suatu antibiotik yang mengandung kandungan ciprofloxacin,Novaflox is an antibiotic that contains ciprofloxacin,F3,0,5,2,0,1
467,31,"Penggunaan obat tersebut dapat digunakan untuk mengobati infeksi saluran kemih, infeksi saluran cerna, infeksi kulit","The use of these drugs can be used to treat urinary tract infections, gastrointestinal infections, skin infections",F3,1,4,4,1,2
468,31,Penggunaan ciprofloxacin dapat bervariasi mulai dari 3 hari hingga 14 hari,The use of ciprofloxacin can vary from 3 days to 14 days,F3,1,4,4,1,2
469,31,"Pada infeksi saluran kemih, maka penggunaan memang dapat minimal digunakan selama 3 hari","In urinary tract infections, the use can indeed be used for a minimum of 3 days",F3,1,4,4,1,2
470,31,"Tetapi hal tersebut tergantung dari keparahan tingkat infeksi, riwayat infeksi saluran kemih berulang, keadaan saluran kemih, keadaan sistemik anda, dan penyakit penyerta lainnya","But it depends on the severity of the infection, history of recurrent urinary tract infections, urinary tract conditions, your systemic condition, and other co - morbidities",F3,1,4,4,1,2
471,31,Menentukan berat ringannya infeksi saluran kemih tidak dapat anda tentukan sendiri,You can't determine the severity of a urinary tract infection yourself,F3,2,6,8,2,2
472,31,terdapat berbagai kriteria untuk menetapkan infeksi saluran kemih ringan atau berat,There are various criteria for establishing a mild or severe urinary tract infection,F3,2,6,8,2,2
473,31,Sehingga dari keadaan anda penggunaan ciprofloxacin selama 7 hari yang diberikan dokter anda merupakan lama pengobatan yang masih termasuk ke dalam batas wajar,"So from your situation, the 7 days of ciprofloxacin that your doctor gave you is the length of treatment that is still within reasonable limits",F3,2,6,8,2,2
474,31,Penggunaan ciprofloxacin selama 7 hari asalkan dengan indikasi yang tepat tidak menyebabkan terjadi resistensi bakteri,The use of ciprofloxacin for 7 days as long as with the right indications does not cause bacterial resistance,F3,2,6,8,2,2
475,31,selain itu infeksi saluran kemih dapat terjadi mulai dari ginjal hingga ke uretra,"In addition, urinary tract infections can occur from the kidneys to the urethra",F3,2,6,8,2,3
476,31,Sistitis merupakan infeksi yang terbatas hanya pada kandung kemih,Cystitis is an infection limited to the bladder,F3,2,6,8,2,4
477,31,"Oleh karena itu, sebaiknya anda melakukan kontrol rutin ke dokter anda ya","Therefore, you should do regular check - ups with your doctor, okay?",F5,3,1,8,3,4
478,31,"jika anda masih ragu, maka anda dapat menanyakan ulang ke dokter anda sehingga dokter dapat memberikan penjelasan yang lebih tepat sesuai dengan keadaan anda","if you are still in doubt, then you can ask your doctor again so that the doctor can provide a more precise explanation according to your situation",F5,4,2,8,4,4
479,31,"minum cukup air putih, dan jangan merokok merupakan suatu hal yang penting","drinking enough water, and not smoking is an important thing",F5,4,2,1,4,4
480,31,"Jangan suka menahan BAK, dan bilas setelah BAK dari arah depan ke belakang ya ( dari arah vagina ke anus)","Do not like to hold the bladder, and rinse after urinating from front to back (from the vagina to the anus)",F5,5,1,1,5,4
481,31,berikut artikel yang dapat anda baca mengenai ISK,the following article you can read about UTI,F5,6,3,3,6,4
482,31,Semoga bermanfaat,May be useful,F1,6,3,3,6,4
483,31,Terima kasih,Thank you,F1,6,3,3,6,4
484,32,"Halo Frasel, terima kasih telah mengunjungi Alodokter","Hello Frasel, thank you for visiting Alodokter",F1,0,1,1,0,0
485,32,Disini saya akan meneruskan jawaban yang tadi diberikan oleh dr Valan,Here I will continue the answer that was given by dr Valan,F1,1,3,3,1,1
486,32,"Seperti yang Anda jelaskan sebelumnya bahwa Anda mengalami keluhan keluar bercak darah agak banyak, sehingga memang kami sarankan untuk mengunjungi dokter spesialis kebidanan dan kandungan","As you explained earlier, you experience a lot of blood spots, so we really recommend visiting an obstetrician and gynecologist",F5,1,3,3,1,1
487,32,Untuk pemeriksaan yang akan dilakukan oleh dokter spesialis sepenuhnya merupakan keputusan di lapangan saat dokter tersebut melihat tanda dan gejala pada pasien,"For the examination to be carried out by a specialist doctor, it is entirely a decision in the field when the doctor sees signs and symptoms in the patient",F5,1,3,3,1,1
488,32,"Jika dokter mencurigai adanya suatu massa atau benjolan di daerah sekitar rahim, atau Anda mengeluhkan sesuatu di daerah tersebut, maka akan dilakukan tindakan USG","If the doctor suspects a mass or lump in the area around the uterus, or you complain of something in the area, an ultrasound will be performed",F5,2,1,2,2,2
489,32,Pemeriksaan pervaginam kemungkinan besar akan dilakukan dokter spesialis kandungan mengingat keluhan Anda sebelumnya adalah keputihan dan keluar bercak darah,Vaginal examination will most likely be carried out by a gynecologist considering your previous complaint was vaginal discharge and blood spots,F5,3,2,2,3,3
490,32,"Dari pemeriksaan pervaginam dokter akan dapat menentukan penyebab dari gejala dan keluhan yang Anda rasakan apakah penyebabnya karena jamur, bakteri, tumor, radang, atau ada penyebab lain sehingga Anda akan mendapat terapi dan tatalaksana yang tepat","From a vaginal examination, the doctor will be able to determine the cause of the symptoms and complaints you feel, whether the cause is due to fungi, bacteria, tumors, inflammation, or there are other causes so that you will receive appropriate therapy and treatment",F5,3,2,1,3,3
491,32,Semoga Bermanfaat,May be useful,F1,4,2,2,4,4
492,32,dr Thoriqotil H M,Dr Thoriqotil H M,F1,4,2,2,4,4
493,33,Halo,Hello,F1,0,1,1,0,0
494,33,Terima kasih atas pertanyaan yang disampaikan ke Alodokter,Thank you for the questions submitted to Alodokter,F1,1,4,4,1,1
495,33,Kami dapat memahami kekhawatiran yang Anda rasakan,We can understand your concern,F1,1,4,4,1,1
496,33,Produk yang Anda sebutkan merupakan obat bermerk dengan kandung zat aktif berupa ambroxol,The product you mention is a branded drug containing the active substance in the form of ambroxol,F4,1,4,4,1,1
497,33,Obat ini biasanya digunakan untuk membantu mengencerkan dahak agar lebih mudah dikeluarkan pada penyakit yang melibatkan saluran pernafasan,This drug is usually used to help thin phlegm to make it easier to expel in diseases that involve the respiratory tract,F3,1,4,4,1,1
498,33,"Secara umum, jika obat bukan merupakan golongan antibiotik dan tidak ada pernyataan informasi umur obat pada kemasan, obat sirup yang kemasannya sudah dibuka dapat disimpan dan digunakan kembali dalam jangka waktu satu bulan, dengan catatan bahwa penyimpanan dilakukan dengan baik dan benar","In general, if the drug is not an antibiotic and there is no information on the age of the drug on the package, syrup that has been opened can be stored and reused within one month, provided that the storage is carried out properly and properly",F3,2,2,2,2,2
499,33,Obat sirup perlu disimpan di tempat bersuhu ruangan (sekitar 25 - 30 C) dan terhindari dari paparan sinar matahari / panas berlebih,Syrup medicine needs to be stored at room temperature (around 25 - 30 C) and avoid exposure to sunlight / excessive heat,F3,2,2,2,2,2
500,33,Bacalah terlebih dahulu informasi produk obat tersebut untuk mengetahui apakah terdapat keterangan mengenai umur obat,Read the information on the drug product first to find out if there is information about the age of the drug,F3,3,5,5,3,3
501,33,Setiap obat dapat memiliki petunjuk cara penyimpanan dan umur penggunaan yang berbeda – beda,Each drug may have different instructions for storage and shelf - life,F3,3,5,5,3,3
502,33,"Bila Anda ragu, Anda juga dapat menanyakan informasi tentang obat tersebut kepada apoteker di apotek tempat Anda membeli obat tersebut","If in doubt, you can also ask the pharmacist for information about the drug at the pharmacy where you bought the drug",F5,3,5,5,3,3
503,33,"Meskipun demikian, kami menganjurkan Anda untuk terlebih dahulu berkonsutasi dengan dokter atau dokter spesialis anak sebelum menggunakan kembali obat yang Anda simpan","However, we recommend that you first consult with your doctor or pediatrician before using your stored medicine again",F5,3,5,5,3,3
504,33,Produk yang Anda sebutkan tergolong sebagai obat keras sehingga penggunaannya harus berdasarkan peresepan dan pengawasan dokter,The product you mention is classified as a strong drug so its use must be based on a doctor's prescription and supervision,F4,3,5,5,3,3
505,33,Penghitungan dosis obat anak perlu disesuaikan dengan berat badan anak,Calculation of the child's drug dose needs to be adjusted to the child's weight,F4,4,5,5,4,4
